dimension,run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
2,1,0.01,0.1,0.01,0.01,0.03,0.0,100,1,15.505697623014889,3.1163244416099625
2,2,0.01,0.3,0.1,0.01,0.03,0.0,100,1,15.281785235760788,3.364773821198526
2,4,0.03,0.01,0.1,0.01,0.01,4.223394842965376,2,0.014031890612106024,0.8957761606084528,0.4478880803042264
2,4,0.01,0.03,0.1,0.01,0.01,2.162906943445589,3,0.08512755429785468,3.223688950187907,1.4886946252671769
2,4,0.01,0.01,0.1,0.01,0.01,6.175999644583,2,0.02689032470019251,1.7667307747873808,0.8833653873936904
2,4,0.03,0.01,0.01,0.01,0.01,0.0038626611139326544,8,0.5952847353366927,4.475524848576496,1.3512724106073364
2,3,0.01,0.3,0.01,0.01,0.03,0.0,100,1,16.686796261215527,3.3862656332052876
2,1,0.01,0.03,0.01,0.01,0.03,0.0,100,1,17.665494700673293,3.1476012600053114
2,1,0.01,0.1,0.1,0.01,0.03,8.662332539556116e-06,90,0.0014769532034921537,15.868554307512579,3.3654963658039216
2,3,0.01,0.3,0.1,0.01,0.03,0.0,100,1,18.258633134243023,3.3576969795729483
2,4,0.01,0.01,0.01,0.01,0.01,0.0012030715836060663,11,0.6774517535344512,10.657862182575546,2.8854578769990433
2,2,0.01,0.1,0.01,0.01,0.03,0.0,100,1,15.743733003351526,3.2809690995731273
2,4,0.01,0.3,0.01,0.01,0.03,0.0,100,1,15.775349485472262,3.1481965756376735
2,4,0.01,0.3,0.1,0.01,0.03,0.0,100,1,15.951424073494177,3.1830326609776574
2,3,0.01,0.1,0.01,0.01,0.03,0.0,100,1,17.386891183400728,3.2058892064926336
2,2,0.01,0.1,0.1,0.01,0.03,5.2860359662334e-06,92,1.1102230246251565e-16,14.63835806505958,3.138864105747019
2,0,0.03,0.01,0.1,0.01,0.03,4.515394067782052,3,0.012668910807335967,0.9650711192960808,0.39965356915015615
2,0,0.01,0.03,0.1,0.01,0.03,1.6887765935358365,3,0.10508804325666689,3.3219390117431247,1.3802302041000103
