run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
3,0.01,0.3,0.1,0.01,0.03,0.0,100,1,14.794059169846005,3.079597786875215
4,0.01,0.01,0.1,0.01,0.01,6.079936379306916,3,0.024045105626033514,3.28036820419035,1.4020383723148317
3,0.01,0.3,0.01,0.01,0.03,0.0,100,1,17.780299452296376,3.4098726530995265
4,0.03,0.01,0.1,0.01,0.01,4.526494745866308,3,0.011799078707035615,1.5143669736902565,0.6504394154053519
4,0.03,0.01,0.01,0.01,0.01,0.0028825650436974473,9,0.6091187473125512,5.162301589985943,1.5356545962347743
2,0.01,0.1,0.1,0.01,0.03,0.0,100,1,17.264077537628808,3.697763170645919
3,0.01,0.1,0.01,0.01,0.03,0.0,100,1,15.171695292852203,3.175336184998402
2,0.01,0.03,0.01,0.01,0.03,0.0,100,1,17.37566144908108,3.4199419246032168
4,0.01,0.3,0.1,0.01,0.03,0.0,100,1,17.021442433913215,3.311268222822942
4,0.01,0.3,0.01,0.01,0.03,0.0,100,1,16.048452735108203,3.3600232002869834
0,0.01,0.03,0.1,0.01,0.03,1.8569542804763477,3,0.10545865426611323,3.0528669648587607,1.2717850355184606
3,0.01,0.1,0.1,0.01,0.03,1.1023963999262502e-05,95,-4.440892098500626e-16,17.90284191282967,3.4165357971196304
0,0.01,0.01,0.1,0.01,0.03,5.2421298277787045,2,0.022088506368058813,1.583988983798475,0.7919944918992375
0,0.01,0.01,0.01,0.01,0.03,0.0016174487715901135,16,0.674115382895801,10.479809732637724,2.46860561682496
4,0.01,0.1,0.01,0.01,0.03,0.0,100,1,14.61286196060073,3.148416541033335
0,0.01,0.3,0.1,0.01,0.1,0.0,100,1,17.84399352083375,3.219917448738663
3,0.01,0.03,0.01,0.01,0.03,0.0,100,1,13.428721524767749,3.050526063158348
0,0.03,0.3,0.01,0.01,0.01,0.0,100,1,17.481115667660944,2.9828645981315667
0,0.03,0.1,0.01,0.01,0.01,0.0,100,1,14.557934836985748,2.9689342745561977
0,0.03,0.3,0.1,0.01,0.01,0.0,100,1,16.71673925285242,3.1110800813732213
0,0.01,0.3,0.01,0.01,0.1,0.0,100,1,15.689081254350196,3.2773989164638433
0,0.03,0.01,0.01,0.01,0.03,0.0028422299693663345,8,0.5934359072167208,3.641930141540869,1.2112554322446552
0,0.03,0.01,0.1,0.01,0.03,4.268943307677478,2,0.016062445257236407,0.8254336316196615,0.4127168158098308
0,0.03,0.1,0.1,0.01,0.01,2.4691374171716758e-05,76,0.48628104161086305,15.938641126997046,3.6643519735908425
0,0.1,0.03,0.01,0.01,0.01,0.0,100,1,13.612530713247525,2.51194130594567
0,0.03,0.03,0.01,0.01,0.01,0.0,100,1,13.70443271935873,3.2462209821501107
0,0.03,0.03,0.1,0.01,0.01,1.1943695472693068,3,0.08862479601517399,1.8301362802893526,0.7487840796503382
0,0.1,0.01,0.01,0.01,0.01,0.026716431823098494,4,0.21948221415467928,0.5002376244421749,0.19575642285795575
0,0.1,0.01,0.1,0.01,0.01,2.6748088083513526,2,0.0027968199707229524,0.06886378591317789,0.034431892956588946
4,0.01,0.1,0.1,0.01,0.03,6.9088416663806015e-06,95,7.771561172376096e-16,15.622767501806104,3.1364399755923076
0,0.1,0.03,0.1,0.01,0.01,0.5608546157281502,3,0.07479557696870087,0.39959259378954204,0.16557574683556756
1,0.01,0.3,0.1,0.01,0.1,0.0,100,1,16.173496620356183,3.180675464706159
1,0.01,0.03,0.1,0.01,0.03,1.764782039109833,3,0.10672734370800414,2.8318871536428727,1.1951333199630667
0,0.01,0.1,0.01,0.01,0.1,0.0,100,1,17.344401966124515,3.3169019480635886
1,0.03,0.3,0.01,0.01,0.01,0.0,100,1,13.736690838466664,3.153369750557278
1,0.03,0.3,0.1,0.01,0.01,0.0,100,1,16.76923791350356,3.3091708690566164
1,0.01,0.3,0.01,0.01,0.1,8.986441271157686e-09,99,0.0,14.537364569091142,3.116107786262165
