run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
1,0.1,0.1,0.01,0.01,0.01,1.681797706693364e-07,82,0.8726903873375554,15.879986430801784,3.2742532020136075
4,0.03,0.01,0.01,0.01,0.01,0.26726521990206137,3,0.1767702198960926,2.3732146130744907,1.0359195124250467
1,0.3,0.01,0.1,0.01,0.01,3.2986610069665336,1,-2.220446049250313e-16,0.0,0.0
0,0.03,0.3,0.1,0.01,0.03,2.301161479070823e-06,78,0.8255615938459632,13.67822776650555,3.2385733167448625
0,0.01,0.1,0.01,0.01,0.03,2.025833457866499e-07,76,0.8557860400208953,14.418209107987158,3.4531058013315503
1,0.3,0.01,0.01,0.01,0.01,0.3793164798075524,4,0.03758409931746709,0.1732606632765114,0.06911915312913687
4,0.01,0.03,0.01,0.01,0.01,1.957219390621757e-07,72,0.7979128043533407,17.726884139025675,3.707878417916868
4,0.01,0.01,0.1,0.01,0.01,13.013201654464538,2,0.008585275808823845,3.12075531946064,1.56037765973032
0,0.01,0.3,0.1,0.01,0.03,2.1240723379724722e-06,71,0.8710595106666494,18.23428175156878,3.8594371457940433
1,0.3,0.03,0.01,0.01,0.01,0.002376465708019205,11,0.5257687911873434,3.8960039733789977,1.0379115902456182
4,0.01,0.03,0.1,0.01,0.01,9.390553116147512,2,0.03877570609190645,2.6668860821113216,1.3334430410556608
1,0.1,0.03,0.1,0.01,0.01,3.816802079896598,3,0.013817393513146481,0.7109332817890529,0.2919892811640047
1,0.1,0.03,0.01,0.01,0.01,3.2049901743764766e-05,44,0.5543795701405266,13.59384415676152,2.580629011255411
1,0.1,0.1,0.1,0.01,0.01,0.1691607651180244,3,0.19839472773699507,3.036162777402337,1.331850368526735
4,0.01,0.1,0.1,0.01,0.01,0.23853028647076324,2,0.20675020522949333,5.252772290788421,2.6263861453942106
4,0.01,0.01,0.01,0.01,0.01,0.2740173902444506,2,0.17836005161026722,3.4178633368154197,1.7089316684077098
4,0.03,0.03,0.01,0.01,0.01,3.9600040370409876e-07,64,0.8697142721008113,16.280129012251734,3.475075980222185
2,0.1,0.3,0.01,0.01,0.01,4.5151986045222324e-07,78,0.9111391946768388,15.347497770731323,3.228858758918459
1,0.1,0.01,0.1,0.01,0.01,5.25154388356853,2,0.0002581269891688831,0.2761449011296526,0.13807245056482634
1,0.03,0.3,0.01,0.01,0.03,2.868238748524868e-07,84,0.8707283224101731,16.612218020017668,3.5326075027851407
4,0.03,0.03,0.1,0.01,0.01,6.686063635956261,2,0.03552141686064322,0.8937652484274969,0.44688262421374847
1,0.01,0.3,0.01,0.01,0.03,2.4282162495570814e-07,85,0.8484481803978242,15.552300126255,3.472907049802825
2,0.1,0.3,0.1,0.01,0.01,3.5239741107264535e-06,68,0.7813394066547893,18.19590382193891,3.6334188252590094
4,0.03,0.01,0.1,0.01,0.01,9.547413321428822,2,0.00498589944419045,1.3764705284969978,0.6882352642484989
0,0.03,0.1,0.01,0.01,0.03,2.326504115559937e-07,78,0.8024771435774928,14.66739839809592,3.2096905770982516
2,0.1,0.1,0.01,0.01,0.01,2.5571822393631115e-07,78,0.7285971478063504,14.773676464369156,3.362356982493473
0,0.1,0.01,0.01,0.01,0.03,0.29195756158504965,3,0.08087523866566255,0.26192356966038466,0.1218713814717909
2,0.3,0.01,0.1,0.01,0.01,3.406511577019295,1,6.661338147750939e-16,0.0,0.0
2,0.3,0.01,0.01,0.01,0.01,0.3795860937033765,6,0.03449430757837188,0.4773670568018297,0.15107511642624796
2,0.3,0.03,0.01,0.01,0.01,0.0031391016932176214,7,0.485014759697649,0.9803789162226679,0.3238666703473367
1,0.03,0.3,0.1,0.01,0.03,2.82156656280424e-06,73,0.8588997141777985,14.98231942681687,3.4847922699541645
0,0.03,0.1,0.1,0.01,0.03,0.15019579067520383,3,0.2183717745728925,4.818563904194287,1.9673186597825258
1,0.01,0.1,0.01,0.01,0.03,1.5939413836486431e-07,77,0.8883016103230698,16.94794290942076,3.352586110323155
2,0.1,0.03,0.1,0.01,0.01,3.7421185664725964,3,0.01253736655182975,0.6396883773834771,0.26212142091902574
1,0.01,0.3,0.1,0.01,0.03,2.836759096286303e-06,72,0.6596513803328166,14.833636850204153,3.2741312013168913
3,0.1,0.3,0.01,0.01,0.01,2.873384735303987e-07,89,0.8398051646356048,15.653719736162373,3.5467011410841938
2,0.1,0.03,0.01,0.01,0.01,6.0581799401649905e-06,57,0.5075883244303306,10.297932444714803,2.6361608377535135
0,0.03,0.01,0.01,0.01,0.03,0.25600761986953424,3,0.17083988283207127,2.177691922621476,0.8890768307230911
0,0.01,0.03,0.01,0.01,0.03,1.518022963648268e-07,79,0.8441179312685148,15.683501190083666,3.240629596953676
2,0.1,0.1,0.1,0.01,0.01,0.1905168207922833,4,0.19686438081045962,3.554484707790229,1.2570331976972056
0,0.01,0.01,0.1,0.01,0.03,12.568623840153219,2,0.007736505784449538,2.1418461765952963,1.0709230882976482
3,0.1,0.3,0.1,0.01,0.01,3.7483957801405714e-06,60,0.8110112716012181,15.266865035300562,3.4946107911315445
0,0.01,0.03,0.1,0.01,0.03,9.21794950664987,2,0.036072239134944256,3.4032196006307807,1.7016098003153903
2,0.1,0.01,0.1,0.01,0.01,5.3849877619283655,2,0.00018360567483888257,0.20925970275495,0.104629851377475
2,0.03,0.3,0.01,0.01,0.03,3.0407232981315547e-07,86,0.811521248336439,15.559948950389554,3.436521014658426
3,0.1,0.1,0.01,0.01,0.01,2.407393539056942e-07,76,0.8335077939528643,14.320921354603172,3.0134470693833055
2,0.01,0.3,0.01,0.01,0.03,2.956947319423819e-07,82,0.8696119363686635,14.087622823690586,3.3305214134339813
0,0.01,0.01,0.01,0.01,0.03,0.26909525882709395,2,0.20119519490593205,4.4359765393032,2.2179882696516
0,0.01,0.1,0.1,0.01,0.03,0.1496614496437992,3,0.2433725542293845,5.483616829401393,2.2531385705287788
0,0.03,0.03,0.01,0.01,0.03,2.662921340159774e-07,74,0.7859044996560746,13.89335972590508,3.397313583235724
1,0.03,0.1,0.01,0.01,0.03,1.7815266530495684e-07,76,0.8031370140271131,14.766065674173216,2.9331775873712953
0,0.03,0.03,0.1,0.01,0.03,6.045220792500289,2,0.027176741875519272,0.7408748547012184,0.37043742735060914
