run,c,h,a,theta_h,theta_a,avg_edw,num_com,mod,avg_com,sd_com
1,0.03,0.01,0.1,0.01,0.01,8.997741392293635,2,0.004878160208394072,1.2046050687248553,0.5130319105279496
1,0.1,0.01,0.01,0.01,0.01,0.3090448675450526,4,0.05772626309508947,0.4856265898756467,0.07288073748576356
2,0.1,0.3,0.01,0.01,0.01,1.6473304717024953e-07,91,0.8272864031068975,17.442853914145537,104.08813390551133
2,0.01,0.3,0.01,0.01,0.01,2.135489199603284e-07,86,0.8742827573278742,15.099415651444154,98.63884998340056
2,0.3,0.3,0.01,0.01,0.01,5.012557573694132e-07,73,0.9270784602891639,14.175595193992365,87.27750622460717
2,0.03,0.3,0.01,0.01,0.01,4.4383838108827e-07,81,0.9002328972120557,16.413807030583513,112.28093682028447
2,0.01,0.3,0.1,0.01,0.01,4.406393832610084e-06,72,0.818598262885608,16.37564237809134,109.60431970914057
2,0.1,0.1,0.01,0.01,0.01,1.348597887286559e-07,83,0.8382688309543679,17.23968943699726,114.91418366692417
2,0.3,0.1,0.01,0.01,0.01,2.4337835778140327e-07,78,0.8192459415673161,14.020358603331484,69.39456758920355
2,0.1,0.3,0.1,0.01,0.01,3.61899580177853e-06,69,0.8508728445051468,14.842989514120932,99.64813096233397
2,0.03,0.1,0.01,0.01,0.01,1.1384160992616592e-07,88,0.7410002141755679,14.09667698287781,91.87695570608793
2,0.3,0.3,0.1,0.01,0.01,1.1573982598586986e-06,76,0.8164072721059604,16.15977247925069,93.76753981313087
2,0.01,0.1,0.01,0.01,0.01,2.738320391766955e-07,72,0.8873438278605089,14.506506282488388,85.4199851205212
2,0.03,0.3,0.1,0.01,0.01,4.247253049640454e-06,71,0.8149961553331224,15.836810729914742,89.0891151699603
2,0.01,0.1,0.1,0.01,0.01,0.22440751729625913,3,0.23742498637875492,5.300926822221698,8.731763954786954
2,0.03,0.01,0.01,0.01,0.01,0.2601591792970008,3,0.14444421114212233,2.0239860521282735,1.5379093254665188
2,0.3,0.01,0.1,0.01,0.01,3.313747807022722,1,2.220446049250313e-16,0.0,0.0
2,0.3,0.03,0.1,0.01,0.01,2.41754756031991,3,0.0033172956097342124,0.10393680446562523,0.0032445494423310206
2,0.01,0.03,0.01,0.01,0.01,2.7017555543903213e-07,69,0.8283630447533453,17.40386772837369,111.65980040730527
2,0.3,0.01,0.01,0.01,0.01,0.3746899804599368,4,0.033807847951798364,0.15295291961650911,0.007364721281576699
2,0.03,0.1,0.1,0.01,0.01,0.218786653164488,2,0.23389776953913816,4.3017333951341525,6.54247374482839
2,0.1,0.03,0.1,0.01,0.01,3.7972551782384976,2,0.014270211651571746,0.03250244048403578,0.000373496855611256
2,0.1,0.1,0.1,0.01,0.01,0.16996242666880726,3,0.22702889493550893,2.5924724319005605,1.9493310580064425
2,0.3,0.03,0.01,0.01,0.01,0.002434674487295718,7,0.5037845169819709,1.234951168817978,0.3644376362519775
